instance_id,num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam
instcross10_30_28.csv,500,1850,0.2703,1820,0.9838,2,4,3.7,2,4,3.7,116,0.232,384,0.768,118,0.236,382,0.764,52,0.104,448,0.896,17,0.034,16,0.032,0,0,2,9,275.8571,2,2,11,9,38,29.5714,9,38,29.5714
instcross10_35_0.csv,500,1845,0.271,1812,0.9821,1,4,3.69,1,4,3.69,131,0.262,369,0.738,129,0.258,371,0.742,54,0.108,446,0.892,12,0.024,13,0.026,0,0,1,5,332.25,2,2,11,9,38,29.2308,9,38,29.2308
instcross10_35_11.csv,500,1845,0.271,1810,0.981,1,4,3.69,2,4,3.69,127,0.254,373,0.746,121,0.242,379,0.758,62,0.124,438,0.876,14,0.028,17,0.034,0,0,1,5,291.5,2,2,11,9,38,28.6571,9,38,28.6571
instcross10_35_6.csv,500,1845,0.271,1810,0.981,1,4,3.69,2,4,3.69,129,0.258,371,0.742,125,0.25,375,0.75,68,0.136,432,0.864,13,0.026,15,0.03,0,0,1,4,259.5,2,2,11,3,38,24.68,10,38,27.2727
instcross10_38_29.csv,500,1842,0.2714,1804,0.9794,2,4,3.684,2,4,3.684,128,0.256,372,0.744,134,0.268,366,0.732,68,0.136,432,0.864,15,0.03,12,0.024,0,0,4,16,296.6,2,2,11,4,38,27.8095,4,38,27.8095
instcross10_38_3.csv,500,1842,0.2714,1806,0.9805,2,4,3.684,2,4,3.684,130,0.26,370,0.74,130,0.26,370,0.74,66,0.132,434,0.868,14,0.028,14,0.028,0,0,5,19,249.125,2,2,11,5,38,27,5,38,27
instcross10_41_15.csv,500,1839,0.2719,1798,0.9777,2,4,3.678,2,4,3.678,127,0.254,373,0.746,135,0.27,365,0.73,72,0.144,428,0.856,17,0.034,13,0.026,0,0,1,5,222.3333,2,2,11,9,38,28.3947,9,38,28.3947
instcross10_41_17.csv,500,1839,0.2719,1798,0.9777,1,4,3.678,2,4,3.678,139,0.278,361,0.722,127,0.254,373,0.746,78,0.156,422,0.844,11,0.022,17,0.034,0,0,3,13,292.3333,2,2,11,7,38,27.9737,7,38,27.9737
instcross10_41_25.csv,500,1839,0.2719,1800,0.9788,2,4,3.678,1,4,3.678,133,0.266,367,0.734,131,0.262,369,0.738,66,0.132,434,0.868,14,0.028,15,0.03,0,0,3,12,235,2,2,11,6,38,27.6923,6,38,27.6923
instcross10_41_26.csv,500,1839,0.2719,1800,0.9788,2,4,3.678,1,4,3.678,133,0.266,367,0.734,133,0.266,367,0.734,68,0.136,432,0.864,14,0.028,14,0.028,0,0,2,8,260.7778,2,2,11,9,38,27.2444,9,38,27.2444
